task_id,n_trajectories,n_passing,n_failing,n_donors,n_assessed,n_errors,merged_pta_states,merged_pta_transitions,elapsed_s
astropy__astropy-13236,40,8,32,5,35,0,180,243,10.0
django__django-10880,40,32,8,5,35,0,53,57,2.2
django__django-10914,39,37,2,5,34,0,134,138,2.0
django__django-10973,47,28,19,5,42,0,111,122,5.1
django__django-11066,45,41,4,5,40,0,68,71,1.7
matplotlib__matplotlib-13989,46,37,9,5,41,0,59,60,1.4
matplotlib__matplotlib-14623,45,25,20,5,40,0,158,189,6.5
matplotlib__matplotlib-20826,41,12,29,5,36,0,146,190,16.3
matplotlib__matplotlib-20859,45,40,5,5,40,0,134,158,5.4
matplotlib__matplotlib-22719,48,44,4,5,43,0,103,105,1.4
mwaskom__seaborn-3069,47,8,39,5,42,0,206,284,18.7
pallets__flask-5014,45,43,2,5,40,0,130,162,5.5
psf__requests-1142,42,34,8,5,37,0,55,58,2.2
psf__requests-1724,42,38,4,5,37,0,111,113,2.2
psf__requests-1766,44,35,9,5,39,0,113,117,2.2
psf__requests-1921,44,33,11,5,39,0,112,129,4.5
psf__requests-2317,46,38,8,5,41,0,100,106,2.3
psf__requests-2931,40,13,27,5,35,0,131,146,3.2
psf__requests-5414,45,18,27,5,40,0,168,196,15.7
pydata__xarray-2905,43,30,13,5,38,0,119,125,2.6
pydata__xarray-3151,43,31,12,5,38,0,83,84,1.6
pydata__xarray-3305,42,29,13,5,37,0,59,67,3.0
pydata__xarray-3677,45,37,8,5,40,0,54,61,2.2
pydata__xarray-3993,47,23,24,5,42,0,112,130,6.4
pydata__xarray-4075,46,45,1,5,41,0,42,42,1.5
pylint-dev__pylint-4970,47,10,37,5,42,0,189,227,6.9
pylint-dev__pylint-6386,48,13,35,5,43,0,189,225,10.0
pylint-dev__pylint-6903,45,40,5,5,40,0,74,83,4.7
scikit-learn__scikit-learn-10297,43,39,4,5,38,0,38,41,1.8
scikit-learn__scikit-learn-10844,40,39,1,5,35,0,72,75,2.9
scikit-learn__scikit-learn-10908,38,26,12,5,33,0,40,45,1.3
scikit-learn__scikit-learn-11310,38,36,2,5,33,0,109,114,1.4
scikit-learn__scikit-learn-11578,42,39,3,5,37,0,90,98,2.4
scikit-learn__scikit-learn-12585,47,43,4,5,42,0,52,54,1.6
scikit-learn__scikit-learn-12682,38,25,13,5,33,0,70,81,3.0
sphinx-doc__sphinx-10323,44,26,18,5,39,0,176,188,3.4
sphinx-doc__sphinx-10449,42,23,19,5,37,0,116,118,2.5
sphinx-doc__sphinx-10466,42,27,15,5,37,0,138,146,1.9
sphinx-doc__sphinx-10673,38,17,21,5,33,0,301,313,9.2
sphinx-doc__sphinx-11445,44,14,30,5,39,0,126,137,12.1
sympy__sympy-11618,46,33,13,5,41,0,102,108,1.7
sympy__sympy-12096,46,39,7,5,41,0,142,154,6.0
sympy__sympy-12419,41,24,17,5,36,0,171,199,13.6
sympy__sympy-12481,44,35,9,5,39,0,84,86,2.4
sympy__sympy-12489,47,11,36,5,42,0,171,220,15.3
sympy__sympy-13031,46,14,32,5,41,0,117,137,9.2
sympy__sympy-13372,47,39,8,5,42,0,66,70,1.6
